"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Akbarzadeh O.; Mohd Zabidi N.A.; Wahab Y.A.; Hamizi N.A.; Chowdhury Z.Z.; Merican Z.M.A.; Ab Rahman M.; Akhter S.; Rasouli E.; Johan M.R.","Akbarzadeh, Omid (55984413100); Mohd Zabidi, Noor Asmawati (6507905621); Wahab, Yasmin Abdul (57203353903); Hamizi, Nor Aliya (36241689500); Chowdhury, Zaira Zaman (36975026400); Merican, Zulkifli Merican Aljunid (11139315400); Ab Rahman, Marlinda (55233671600); Akhter, Shamima (57212744179); Rasouli, Elisa (57201393781); Johan, Mohd Rafie (8727448400)","55984413100; 6507905621; 57203353903; 36241689500; 36975026400; 11139315400; 55233671600; 57212744179; 57201393781; 8727448400","Effect of cobalt catalyst confinement in carbon nanotubes support on Fischer-Tropsch synthesis performance","2018","Symmetry","10","11","572","","","","29","10.3390/sym10110572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057865939&doi=10.3390%2fsym10110572&partnerID=40&md5=ece84c57718e8690ab3911d66be59981","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85057865939"
"Marlinda A.R.; An'amt M.N.; Yusoff N.; Sagadevan S.; Wahab Y.A.; Johan M.R.","Marlinda, Ab Rahman (55233671600); An'amt, Mohamed Noor (57212408460); Yusoff, Norazriena (6603277560); Sagadevan, Suresh (57793664300); Wahab, Yasmin Abdul (57203353903); Johan, Mohd Rafie (8727448400)","55233671600; 57212408460; 6603277560; 57793664300; 57203353903; 8727448400","Recent progress in nitrates and nitrites sensor with graphene-based nanocomposites as electrocatalysts","2022","Trends in Environmental Analytical Chemistry","34","","e00162","","","","49","10.1016/j.teac.2022.e00162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130125652&doi=10.1016%2fj.teac.2022.e00162&partnerID=40&md5=e66a9fd3f146f761ecd9b3b622706f1f","Review","Final","","Scopus","2-s2.0-85130125652"
"Wahab Y.A.; Al-Ani L.A.; Khalil I.; Schmidt S.; Tran N.N.; Escribà-Gelonch M.; Woo M.W.; Davey K.; Gras S.; Hessel V.; Muhd Julkapli N.","Wahab, Yasmin Abdul (57203353903); Al-Ani, Lina A. (57195364445); Khalil, Ibrahim (57196518893); Schmidt, Svenja (58220743400); Tran, Nam Nghiep (57220895180); Escribà-Gelonch, Marc (26434181800); Woo, Meng Wai (55453111500); Davey, Kenneth (7101960361); Gras, Sally (10240970300); Hessel, Volker (7003726937); Muhd Julkapli, Nurhidayatullaili (24076546700)","57203353903; 57195364445; 57196518893; 58220743400; 57220895180; 26434181800; 55453111500; 7101960361; 10240970300; 7003726937; 24076546700","Nanomaterials: A critical review of impact on food quality control and packaging","2024","Food Control","163","","110466","","","","30","10.1016/j.foodcont.2024.110466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189485446&doi=10.1016%2fj.foodcont.2024.110466&partnerID=40&md5=e87b15c2fb2bbcc5748f3b4dacfa06b3","Review","Final","","Scopus","2-s2.0-85189485446"
"Mohamad Saofi M.S.S.; Hussin H.; Muhamad M.; Abdul Wahab Y.","Mohamad Saofi, M.S.S. (57218954185); Hussin, H. (24776411200); Muhamad, M. (36104384600); Abdul Wahab, Y. (57203353903)","57218954185; 24776411200; 36104384600; 57203353903","Investigation of the NBTI and PBTI Effects on Multiplexer Circuit Performances","2020","IEEE International Conference on Semiconductor Electronics, Proceedings, ICSE","2020-July","","9166861","49","52","3","5","10.1109/ICSE49846.2020.9166861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090905103&doi=10.1109%2fICSE49846.2020.9166861&partnerID=40&md5=7cd9fec8102c1d6130286971b24d03bd","Conference paper","Final","","Scopus","2-s2.0-85090905103"
"Wahab Y.A.; Soin N.; Naseer M.N.; Hussin H.; Osman R.A.M.; Johan M.R.; Hamizi N.A.; Pivehzhani O.A.; Chowdhury Z.Z.; Sagadevan S.; Sabapathy T.","Wahab, Yasmin Abdul (57203353903); Soin, Norhayati (13008659000); Naseer, Muhammad Nihal (57211979351); Hussin, Hanim (24776411200); Osman, Rozana Aina Maulat (37261764900); Johan, Mohd Rafie (8727448400); Hamizi, Nor Aliya (36241689500); Pivehzhani, Omid Akbarzadeh (55984413100); Chowdhury, Zaira Zaman (36975026400); Sagadevan, Suresh (57793664300); Sabapathy, Thennarasan (35424377200)","57203353903; 13008659000; 57211979351; 24776411200; 37261764900; 8727448400; 36241689500; 55984413100; 36975026400; 57793664300; 35424377200","Junction engineering in two-stepped recessed SiGe MOSFETs for high performance application","2020","AIP Conference Proceedings","2203","","020033","","","","5","10.1063/1.5142125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078152480&doi=10.1063%2f1.5142125&partnerID=40&md5=fb7cef5cac4859782c04a44b4d551bba","Conference paper","Final","","Scopus","2-s2.0-85078152480"
"Islam M.A.; Sarkar D.K.; Shahinuzzaman M.; Wahab Y.A.; Khandaker M.U.; Tamam N.; Sulieman A.; Amin N.; Akhtaruzzaman M.","Islam, Mohammad Aminul (57220973693); Sarkar, Dilip Kumar (57220704093); Shahinuzzaman, Md. (57193799716); Wahab, Yasmin Abdul (57203353903); Khandaker, Mayeen Uddin (36836773700); Tamam, Nissren (57216273552); Sulieman, Abdelmoneim (22942334700); Amin, Nowshad (7102424614); Akhtaruzzaman, Md. (57195441001)","57220973693; 57220704093; 57193799716; 57203353903; 36836773700; 57216273552; 22942334700; 7102424614; 57195441001","Green Synthesis of Lead Sulphide Nanoparticles for High-Efficiency Perovskite Solar Cell Applications","2022","Nanomaterials","12","11","1933","","","","22","10.3390/nano12111933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131648091&doi=10.3390%2fnano12111933&partnerID=40&md5=7bf194c0328db08d2ffb991129b442a4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85131648091"
"Lett J.A.; Sagadevan S.; Prabhakar J.J.; Hamizi N.A.; Badruddin I.A.; Johan M.R.; Marlinda A.R.; Wahab Y.A.; Khan T.M.Y.; Kamangar S.","Lett, Jayasingh Anita (57207346061); Sagadevan, Suresh (57793664300); Prabhakar, Joseph Joyce (57211982984); Hamizi, Nor Aliya (36241689500); Badruddin, Irfan Anjum (12544753000); Johan, Mohd Rafie (8727448400); Marlinda, Ab Rahman (55233671600); Wahab, Yasmin Abdul (57203353903); Khan, Tatagar Mohammad Yunus (57455192700); Kamangar, Sarfaraz (54785996300)","57207346061; 57793664300; 57211982984; 36241689500; 12544753000; 8727448400; 55233671600; 57203353903; 57455192700; 54785996300","Drug leaching properties of Vancomycin loaded mesoporous hydroxyapatite as bone substitutes","2019","Processes","7","11","826","","","","25","10.3390/pr7110826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075586963&doi=10.3390%2fpr7110826&partnerID=40&md5=b4973a20543ac768e6d3b6116f23ac9a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85075586963"
"Mahabub Alam M.; Mohd Faudzi A.A.; Mardiah Shaharum S.; Abdul Wahab Y.; Azmeer Ab Malek M.H.; Abdul Karim M.S.; Talip Yusof N.A.","Mahabub Alam, Md (59491588100); Mohd Faudzi, Ahmad Afif (57054191200); Mardiah Shaharum, Syamimi (55540444700); Abdul Wahab, Yasmin (57203353903); Azmeer Ab Malek, Muhammad Hazarul (59491376500); Abdul Karim, Mohamad Shaiful (57201499599); Talip Yusof, Nurhafizah Abu (57208004036)","59491588100; 57054191200; 55540444700; 57203353903; 59491376500; 57201499599; 57208004036","Design and Analysis of Triple-Band SIW Antenna for K-Band and Ka-Band Applications","2024","International Exchange and Innovation Conference on Engineering and Sciences","10","","","760","766","6","4","10.5109/7323346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213376086&doi=10.5109%2f7323346&partnerID=40&md5=7563ca91994a57c9767cce85fd1fce67","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85213376086"
"Akbarzadeh O.; Zabidi N.A.M.; Wang G.; Kordijazi A.; Sadabadi H.; Moosavi S.; Babadi A.A.; Hamizi N.A.; Wahab Y.A.; Ab Rahman M.; Sagadevan S.; Chowdhury Z.Z.; Johan M.R.","Akbarzadeh, Omid (55984413100); Zabidi, Noor Asmawati Mohd (6507905621); Wang, Guangxin (57189501781); Kordijazi, Amir (56491317200); Sadabadi, Hamed (57216932729); Moosavi, Seyedehmaryam (55813729000); Babadi, Arman Amani (55867055000); Hamizi, Nor Aliya (36241689500); Wahab, Yasmin Abdul (57203353903); Ab Rahman, Marlinda (56988213200); Sagadevan, Suresh (57793664300); Chowdhury, Zaira Zaman (36975026400); Johan, Mohd Rafie (8727448400)","55984413100; 6507905621; 57189501781; 56491317200; 57216932729; 55813729000; 55867055000; 36241689500; 57203353903; 56988213200; 57793664300; 36975026400; 8727448400","Effect of pressure, H2/CO ratio and reduction conditions on Co-Mn/CNT bimetallic catalyst performance in Fischer-Tropsch reaction","2020","Symmetry","12","5","698","","","","17","10.3390/SYM12050698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085394077&doi=10.3390%2fSYM12050698&partnerID=40&md5=95d7f54514faefe39c7f20124bce7938","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85085394077"
"Hessel V.; Escribà-Gelonch M.; Schmidt S.; Tran N.N.; Davey K.; Al-Ani L.A.; Muhd Julkapli N.; Abdul Wahab Y.; Khalil I.; Woo M.W.; Gras S.","Hessel, Volker (7003726937); Escribà-Gelonch, Marc (26434181800); Schmidt, Svenja (58220743400); Tran, Nam Nghiep (57220895180); Davey, Kenneth (7101960361); Al-Ani, Lina A. (57195364445); Muhd Julkapli, Nurhidayatullaili (24076546700); Abdul Wahab, Yasmin (57203353903); Khalil, Ibrahim (57196518893); Woo, Meng Wai (55453111500); Gras, Sally (10240970300)","7003726937; 26434181800; 58220743400; 57220895180; 7101960361; 57195364445; 24076546700; 57203353903; 57196518893; 55453111500; 10240970300","Nanofood Process Technology: Insights on How Sustainability Informs Process Design","2023","ACS Sustainable Chemistry and Engineering","11","31","","11437","11458","21","7","10.1021/acssuschemeng.3c01223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167882844&doi=10.1021%2facssuschemeng.3c01223&partnerID=40&md5=0b082f6ff6618041c64e0da3203fa943","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85167882844"
